max_depth,min_samples_split,C,kernel,n_neighbors,weights
5,2,10.0,rbf,6,uniform
10,2,1,linear,5,uniform
10,2,10,linear,9,uniform
5,2,1,linear,5,uniform
10,2,10,linear,9,uniform
10,2,10,linear,9,uniform
10,2,10,rbf,9,uniform
5,2,10,linear,9,uniform
10,2,10,linear,3,uniform
10,2,1,linear,5,uniform
10,2,10,linear,7,uniform
10,2,10,linear,5,uniform
3,2,1,linear,5,uniform
10,2,1,linear,9,uniform
5,2,10,linear,9,uniform
10,2,10,linear,5,uniform
5,2,1,linear,9,uniform
10,2,10,linear,9,uniform
10,2,100,linear,5,uniform
10,2,1,linear,5,uniform
10,2,100,rbf,9,uniform
5,2,100,linear,5,uniform
10,2,100,linear,9,uniform
10,2,10,linear,7,uniform
10,2,10,linear,5,uniform
10,2,1,linear,7,uniform
5,2,10,rbf,5,uniform
5,2,1,linear,7,uniform
10,2,10,linear,7,uniform
10,2,1,linear,9,uniform
5,2,10,rbf,9,uniform
3,2,10,linear,9,uniform
